REF_AREA_LABEL,FINANCIAL_HARDSHIP_LABEL,URBANIZATION_LABEL,IC_QUINTILE_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Dominican Republic,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,24.2,,,,,,,,,,,14.17,,,,,
Serbia,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.96,0.99,1.18,0.99,0.93,0.76,0.77,1.15,1.24,0.79,0.7,1.23,0.81,0.83,,0.79,1.65,
Greece,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,2.15,,,,2.34,2.71,2.24,1.8,1.6,1.84,1.26,1.69,2.08,1.34,2.11,1.53,1.74,1.87,1.34,1.97
Dominican Republic,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,81.8,,,,,,,,,,,57.49,,,,,
West Bank and Gaza,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,4.12,3.88,2.59,2.75,,3.58,3.38,3.55,,,,,3.72,,,,,,,3.52
Ethiopia,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,25.92,,,,,,,30.54,,,,22.73,,,18.84,,,22.27,,
Brazil,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,21.24,,,,,,,,,,,,,,,
Iraq,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,15.34,,,,,,17.59,,,,,32.27,,,,,,
Togo,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,7.09,,,,,8.35,,,,27.98,,,,,,3.49,,
"Gambia, The",All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,0.11,,,,,,,0.22,,,,,0.06,,,,,,,,
Guinea,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,2.33,,,,,0.08,,,,,2.07,,,,,,0.0,,,,,
Armenia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,16.48,16.83,16.17,20.8,17.32,12.77,12.85,10.51,12.72,21.91,17.83,18.81,18.02,20.52,23.74,23.66,23.1,20.99,25.8,23.52,,,
Poland,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,12.23,11.78,12.16,10.42,10.81,12.67,12.98,13.59,13.06,13.25,11.89,12.79,12.59,13.1,12.76,12.73,12.83,12.87,11.86,11.18,,,,
Indonesia,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,26.82,45.9,41.71,,40.38,38.02,36.6,36.41,,31.18,30.39,29.45,28.13,29.12,30.33,32.09,31.0,29.5,27.16,25.09,27.66,26.92,25.29,24.54
Kosovo,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,0.8,,4.32,1.7,,,2.89,1.36,1.53,,,,,2.32,,,,,,,
Spain,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,7.64,7.3,7.58,8.01,8.21,7.95,7.81,8.07,7.94,8.48,8.23,8.49,8.44,9.72,8.45,9.11,9.42,9.19
Guinea,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,45.08,,,,,56.31,,,,,35.1,,,,,,50.33,,,,,
"Gambia, The",Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,47.29,,,,,,,32.0,,,,,25.12,,,,,,,,
Seychelles,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,7.0,,,,,,,11.39,,,,,,,,,,
Guinea-Bissau,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,1.72,,,,,,,,1.15,,,,,,,,1.87,,,2.8,,
Italy,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,5.12,,,,,,,,,5.48,,,,,,,,,,,,,
Ghana,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,0.95,,,,,,,0.58,,,,0.42,,,,,,,
Netherlands,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,4.39,,,,,,,,
Georgia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,28.19,29.01,21.26,22.86,20.01,22.71,26.45,27.2,,,,30.27,33.22,30.96,28.72,36.27,36.51,35.27,32.4,34.03,35.25,31.63,31.83,31.71
Mexico,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,2.52,,2.71,,1.64,,2.4,,2.6,,2.49,,3.34,,3.23,
Poland,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,13.64,13.0,13.29,14.65,16.34,16.88,16.33,16.94,17.23,15.81,16.41,16.25,16.81,15.75,15.32,16.02,17.13,,,,,,,
Latvia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,21.12,,26.8,29.41,25.76,30.14,31.11,25.63,22.91,25.95,23.52,24.92,29.88,30.38,34.75,,,30.49,,,,
Panama,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,15.2,,,,,,,,,,,,,,,,,,,,
Mali,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,29.29,,,37.28,,49.61,,49.46,53.7,50.86,49.4,47.36,47.7,45.37,,43.36,40.07,
Vietnam,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,60.67,,54.53,,51.76,,47.77,,41.47,,38.78,,37.83,,34.02,,35.23,,31.78,,,
Serbia,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,5.25,5.8,4.44,6.56,7.58,6.2,7.52,6.95,6.65,4.89,5.61,4.97,5.52,5.83,,6.21,6.84,
Indonesia,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,30.93,55.19,38.09,,35.23,30.03,20.38,13.55,,4.9,4.59,3.66,3.03,3.55,4.29,2.58,4.35,4.02,3.75,1.89,1.67,1.55,1.23,1.23
Guatemala,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,35.39,,,,,,,,,,,21.09,,,34.62,,,,,,,,,29.21
China,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,86.53,,,,,87.57,,,,,,,,,,,93.83,,,,,
India,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,7.12,6.62,,8.51,6.4,,7.43,6.88,,6.58,,7.98,,,,,,,,,,,8.67,
Italy,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,1.6,,,,,,,,,1.27,,,,,,,,,,,,,
Sri Lanka,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,6.66,4.62,,,4.02,,,3.6,,,,3.07,,,2.03,,,,
Kazakhstan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,28.94,27.12,25.83,25.4,15.94,14.89,15.13,13.28,14.94,13.88,11.55,12.68,11.23,11.65,11.2,9.66,,9.77,,,,,
Uzbekistan,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,33.72,,26.02,26.62,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,6.83,,,,,,,,,,,
Djibouti,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,23.28,,,,,,,,,,4.33,,,,,6.42,,,,,,
Slovak Republic,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,29.51,17.57,27.12,29.97,24.65,,,,,,,,,,,,,,
Sierra Leone,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,69.02,,,,,,,,58.53,,,,,,,61.37,,,,,
Kenya,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,34.69,,,,,,,,,,26.38,,,,,,,,
Morocco,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,47.89,,,,,,93.55,,,,,,,77.2,,,,,,,,,,
Vietnam,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,44.15,,37.16,,34.8,,30.49,,25.81,,25.0,,23.27,,21.32,,21.48,,19.47,,,
United Kingdom,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,0.19,,,,,0.39,,,0.46,0.8,0.2,0.88,0.73,0.45,0.71,1.04,0.63,0.29,0.88,0.7,0.87,1.0,,
Vietnam,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,95.94,,95.07,,92.3,,97.3,,90.31,,88.01,,95.01,,92.08,,94.42,,93.13,,,
Central African Republic,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,47.68,,,,,,,,,,,,,68.17,,
Timor-Leste,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,1.66,,,,,,,0.5,,,,,,,,,
Malawi,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,73.82,,,,,,50.16,,,71.8,,,58.94,,,59.34,,,,
Nepal,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,2.91,,,,,,,,,,2.81,2.44,2.53,2.48,,,,,,2.51,
Tonga,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,
Jordan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,20.05,,,,,,14.98,,14.7,,,,,,,,,,,,,
Ireland,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,2.0,,,,,,,,,,,,,,
Gabon,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,31.89,,,,,,,,,,,,26.31,,,,,,
São Tomé and Príncipe,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,30.73,,,,,,,36.12,,,,,,
South Sudan,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,14.24,,,,,,,,,,,,,,
Ireland,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,1.76,,,,,,,,,,,,,,
Germany,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,4.74,,,,,,,,,,,,,
Bulgaria,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,7.07,,8.91,5.74,8.15
Slovak Republic,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,1.16,1.01,0.76,0.84,1.15,1.05,1.1,0.89,,,1.15,,,,,1.02,0.99,0.84,
Afghanistan,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,23.56,,,,,,92.47,,,57.72,,,,58.8,,,
Latvia,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,47.0,40.37,48.71,44.89,41.27,34.84,37.94,33.09,28.28,39.55,34.0,38.33,41.12,43.34,43.17,,,53.7,,,,
Denmark,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,0.27,,,,,,,,,,,,,
Tanzania,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,2.9,,,,,,,2.31,,3.62,,,
Nigeria,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,26.23,,,,,,28.36,32.13,,33.42,,,46.34,,,41.57,,,,38.99,
