REF_AREA_LABEL,INDEX_COMP_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cambodia,Full index,Universal health coverage (UHC) service coverage index,26.0,27.0,29.0,31.0,33.0,35.0,37.0,39.0,41.0,43.0,45.0,47.0,49.0,49.0,51.0,52.0,55.0,57.0,56.0,57.0,57.0,59.0,60.0,62.0
Marshall Islands,Service capacity and access,Universal health coverage (UHC) service coverage index,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,78.0,75.0,72.0,73.0,68.0,71.0,73.0,74.0,76.0,76.0,73.0,73.0,73.0,74.0,74.0,75.0
Spain,Service capacity and access,Universal health coverage (UHC) service coverage index,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,87.0,95.0,80.0,98.0,97.0,98.0,98.0,94.0,95.0,96.0,93.0,94.0,93.0
Bolivia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,53.0,54.0,56.0,57.0,59.0,60.0,61.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0
Tunisia,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,59.0,61.0,62.0,64.0,65.0,66.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,71.0,74.0,76.0,78.0,80.0,82.0,82.0,81.0,81.0,81.0,81.0
El Salvador,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,71.0,71.0,71.0,72.0,72.0,73.0,74.0,75.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,79.0,79.0,78.0,77.0,77.0,76.0,76.0,76.0,76.0
"Gambia, The",Infectious diseases,Universal health coverage (UHC) service coverage index,15.0,13.0,13.0,10.0,9.0,18.0,31.0,39.0,48.0,47.0,38.0,51.0,52.0,50.0,54.0,49.0,40.0,52.0,50.0,48.0,44.0,44.0,55.0,54.0
Slovenia,Infectious diseases,Universal health coverage (UHC) service coverage index,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0
Costa Rica,Infectious diseases,Universal health coverage (UHC) service coverage index,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0
Estonia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,31.0,32.0,34.0,35.0,37.0,38.0,39.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,50.0,51.0,52.0,53.0,53.0,54.0,55.0
Dominica,Service capacity and access,Universal health coverage (UHC) service coverage index,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,83.0,83.0,88.0,88.0,86.0,85.0,85.0,89.0,89.0,88.0,86.0,85.0,85.0
Morocco,Infectious diseases,Universal health coverage (UHC) service coverage index,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,84.0,85.0,86.0,87.0,87.0,88.0,88.0
Samoa,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,54.0,53.0,53.0,53.0,51.0,51.0,50.0,51.0,49.0,52.0,54.0,56.0,57.0,58.0,59.0,58.0,57.0,56.0,53.0,55.0,56.0,55.0,55.0,55.0
Palau,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,63.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,64.0,66.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0
Equatorial Guinea,Service capacity and access,Universal health coverage (UHC) service coverage index,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,25.0,31.0,31.0,31.0,32.0,32.0,32.0,34.0,37.0,43.0,48.0,48.0
Central African Republic,Infectious diseases,Universal health coverage (UHC) service coverage index,8.0,8.0,8.0,8.0,7.0,7.0,9.0,16.0,25.0,27.0,24.0,20.0,18.0,21.0,27.0,31.0,30.0,29.0,29.0,27.0,31.0,31.0,30.0,34.0
Zambia,Service capacity and access,Universal health coverage (UHC) service coverage index,45.0,45.0,45.0,45.0,45.0,44.0,43.0,44.0,44.0,44.0,44.0,45.0,48.0,51.0,52.0,50.0,49.0,48.0,43.0,55.0,57.0,59.0,68.0,67.0
Kiribati,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,68.0,67.0,66.0,65.0,63.0,64.0,64.0,64.0,62.0,63.0,63.0,65.0,65.0,65.0,64.0,65.0,66.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0
