STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,URBANIZATION,HH_MAC,IC_QUINTILE,FINANCIAL_HARDSHIP,INDEX_COMP,SPEND_LEVEL,UNIT_MEASURE,OBS_CONF,UNIT_TYPE,DATABASE_ID,DECIMALS,UNIT_MULT,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,URBANIZATION_LABEL,HH_MAC_LABEL,IC_QUINTILE_LABEL,FINANCIAL_HARDSHIP_LABEL,INDEX_COMP_LABEL,SPEND_LEVEL_LABEL,UNIT_MEASURE_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,DECIMALS_LABEL,UNIT_MULT_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,KHM,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Cambodia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,26.0,27.0,29.0,31.0,33.0,35.0,37.0,39.0,41.0,43.0,45.0,47.0,49.0,49.0,51.0,52.0,55.0,57.0,56.0,57.0,57.0,59.0,60.0,62.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MHL,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Marshall Islands,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,78.0,75.0,72.0,73.0,68.0,71.0,73.0,74.0,76.0,76.0,73.0,73.0,73.0,74.0,74.0,75.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ESP,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Spain,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,87.0,95.0,80.0,98.0,97.0,98.0,98.0,94.0,95.0,96.0,93.0,94.0,93.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,BOL,UHC_SCI,_Z,_Z,_Z,_Z,NCD,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Bolivia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Non-communicable diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,53.0,54.0,56.0,57.0,59.0,60.0,61.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,TUN,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Tunisia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,59.0,61.0,62.0,64.0,65.0,66.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,71.0,74.0,76.0,78.0,80.0,82.0,82.0,81.0,81.0,81.0,81.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SLV,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,El Salvador,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,71.0,71.0,71.0,72.0,72.0,73.0,74.0,75.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,79.0,79.0,78.0,77.0,77.0,76.0,76.0,76.0,76.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GMB,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,"Gambia, The",Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,15.0,13.0,13.0,10.0,9.0,18.0,31.0,39.0,48.0,47.0,38.0,51.0,52.0,50.0,54.0,49.0,40.0,52.0,50.0,48.0,44.0,44.0,55.0,54.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SVN,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Slovenia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CRI,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Costa Rica,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,EST,UHC_SCI,_Z,_Z,_Z,_Z,NCD,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Estonia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Non-communicable diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,31.0,32.0,34.0,35.0,37.0,38.0,39.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,50.0,51.0,52.0,53.0,53.0,54.0,55.0
